length,vowels,subdomain,paths,https,num_letter_ratio_path,num_letter_ratio_domain,special_char,domain_length,sensitive_keywords,suspicious_tld,rand_numstring,hyphens,domain_age,status
126,0.44680851063829785,1,0,0,0.0,0.5409836065573771,15,61,0,0,1,6,0,0
68,0.6,2,1,1,0.0,0.8928571428571429,12,28,1,0,0,0,0,0
34,0.5294117647058824,1,0,0,0.0,0.8181818181818182,8,11,0,0,0,0,0,1
43,0.34615384615384615,0,1,1,0.0,0.9411764705882353,8,17,0,0,0,0,0,0
53,0.7272727272727273,0,0,1,0.0,0.9166666666666666,14,12,0,0,0,0,0,0
75,0.4,0,0,1,6.0,0.9375,13,16,0,0,0,5,0,1
34,0.4117647058823529,1,0,1,0.0,0.8571428571428571,9,21,0,0,0,1,0,0
100,0.5,1,1,0,0.0,0.9047619047619048,16,21,0,0,0,1,0,0
32,0.3684210526315789,1,0,1,0.0,0.9130434782608695,6,23,0,0,0,0,0,1
28,0.2222222222222222,1,0,0,0.0,0.9,6,20,0,0,0,0,0,1
29,0.3333333333333333,0,0,1,0.0,0.9375,5,16,0,0,0,0,0,0
324,0.3916083916083916,1,1,1,23.5,0.696969696969697,37,33,0,0,4,9,0,0
61,0.43333333333333335,1,1,0,1.375,0.9333333333333333,10,30,0,0,0,3,0,0
51,0.3333333333333333,1,0,0,0.7272727272727273,0.9090909090909091,8,22,0,0,1,0,0,0
49,0.64,1,0,1,0.0,0.9047619047619048,8,21,0,0,0,1,0,1
61,0.40625,1,1,1,9.0,0.8125,12,16,0,0,0,3,0,1
76,0.3939393939393939,2,1,0,1.1875,0.8846153846153846,14,26,0,0,1,1,0,1
59,0.3157894736842105,1,1,0,0.0,0.92,9,25,0,0,0,1,0,1
45,0.4583333333333333,0,1,0,11.0,0.9,8,10,0,0,0,0,0,0
29,0.375,1,0,0,0.0,0.8181818181818182,5,22,0,0,0,0,0,0
83,0.6060606060606061,1,1,0,1.7,0.8823529411764706,10,17,0,0,1,0,0,0
23,0.21428571428571427,1,0,1,0.0,0.8571428571428571,6,14,0,0,0,0,0,1
80,0.25,2,1,0,0.5833333333333334,0.0,9,13,0,0,2,0,0,0
27,0.16666666666666666,1,0,1,0.0,0.8888888888888888,6,18,0,0,0,0,0,1
49,0.42857142857142855,1,0,0,0.0,0.9130434782608695,9,23,0,0,0,1,0,1
123,0.36363636363636365,1,0,1,6.4,0.7,17,30,0,0,1,5,0,0
73,0.6388888888888888,1,1,0,12.0,0.9393939393939394,12,33,0,0,0,5,0,0
100,0.5576923076923077,0,0,0,11.6,0.95,14,20,2,0,0,2,0,0
124,0.46551724137931033,4,0,1,0.8888888888888888,0.8913043478260869,19,46,1,0,1,2,0,0
